koi_fpflag_nt,koi_fpflag_ss,koi_fpflag_co,koi_fpflag_ec,koi_period,koi_period_err1,koi_period_err2,koi_time0bk,koi_time0bk_err1,koi_time0bk_err2,koi_impact,koi_impact_err1,koi_impact_err2,koi_duration,koi_duration_err1,koi_duration_err2,koi_depth,koi_depth_err1,koi_depth_err2,koi_prad,koi_prad_err1,koi_prad_err2,koi_teq,koi_insol,koi_insol_err1,koi_insol_err2,koi_model_snr,koi_tce_plnt_num,koi_steff,koi_steff_err1,koi_steff_err2,koi_slogg,koi_slogg_err1,koi_slogg_err2,koi_srad,koi_srad_err1,koi_srad_err2,ra,dec,koi_kepmag,planet_star_radius_ratio,planet_star_volume_ratio,transit_density_proxy,temp_ratio_planet_star
0,0,0,0,5.42586901,1.767e-05,-1.767e-05,135.86589,0.00274,-0.00274,0.1,0.336,-0.1,2.5342,0.0836,-0.0836,259.0,10.8,-10.8,1.48,0.2,-0.08,973.0,211.66,76.42,-34.67,26.1,1.0,5594.0,75.0,-83.0,4.489,0.038,-0.113,0.934,0.127,-0.054,285.38742,45.049049,14.305,-0.08603824739034187,-0.035071453006526886,-0.27970641303469335,-0.09828689361902869
0,1,0,0,11.35501209,2.156e-05,-2.156e-05,133.20478,0.00158,-0.00158,0.473,0.041,-0.058,14.557,0.132,-0.132,19675.0,103.0,-103.0,8.0,0.64,-0.63,534.0,19.29,5.99,-4.98,221.4,1.0,4594.0,137.0,-151.0,4.679,0.056,-0.028,0.567,0.045,-0.045,291.08334,40.566639,14.772,-0.05067559219724649,-0.035071363321353605,-0.20771025444884225,-0.4489971019588017
1,0,0,1,1.02547271,1.065e-05,-1.065e-05,131.6002,0.0103,-0.0103,0.651,0.015,-0.504,1.996,0.278,-0.278,27.0,3.3,-3.3,0.94,0.15,-0.15,2657.0,11800.82,4840.19,-3967.44,10.9,2.0,6862.0,72.0,-92.0,4.114,0.132,-0.108,1.712,0.279,-0.279,292.11362,40.792179,12.407,-0.08896194546689706,-0.03507145312845541,-0.28481633857620253,1.1980444719581205
0,0,0,0,14.1502311,0.0001312,-0.0001312,141.47344,0.00768,-0.00768,0.013,0.45,-0.013,1.503,0.282,-0.282,208.1,30.4,-30.4,0.74,0.05,-0.05,390.0,5.44,1.14,-1.11,9.3,5.0,3705.0,74.0,-74.0,4.721,0.039,-0.021,0.529,0.03,-0.038,297.4292,40.561909,13.693,-0.08656260326373742,-0.03507145304622092,-0.27761722917897746,-0.5157100539838002
1,0,0,0,372.30881,0.0178,-0.0178,379.1454,0.0124,-0.0124,0.1243,0.3324,-0.1242,3.874,0.92,-0.92,535.2,94.8,-94.8,2.09,0.82,-0.18,249.0,0.91,1.05,-0.23,14.9,1.0,5966.0,154.0,-175.0,4.519,0.036,-0.287,0.904,0.356,-0.076,289.41861,47.291889,14.866,-0.0839845929984247,-0.03507145273861,-0.2776347841569713,-0.9018504184223112
0,0,0,0,7.650243513,6.396e-06,-6.396e-06,171.972352,0.000669,-0.000669,0.014,0.323,-0.014,2.752,0.0222,-0.0222,981.4,10.7,-10.7,2.3,0.45,-0.18,772.0,83.86,50.76,-19.92,98.8,1.0,5409.0,162.0,-146.0,4.609,0.03,-0.12,0.746,0.145,-0.058,293.16016,48.881191,14.701,-0.08180727694806675,-0.03507145219665562,-0.2650458393945347,-0.2880014775080076
1,0,1,0,0.532086296,6.78e-07,-6.78e-07,131.9134,0.00115,-0.00115,1.199,0.102,-0.136,4.023,0.115,-0.115,495.8,7.7,-7.7,16.99,2.48,-1.25,1790.0,2417.28,1156.3,-555.26,85.2,1.0,5271.0,158.0,-142.0,4.636,0.03,-0.09,0.698,0.102,-0.051,292.48703,41.311119,15.397,-0.02178742627446711,-0.03507099199739539,-0.27849400357186666,0.9086464517985209
1,0,0,0,427.65334,0.02449,-0.02449,136.2622,0.0357,-0.0357,0.4355,0.0476,-0.4018,11.17,1.4,-1.4,157.1,20.5,-20.5,1.97,1.32,-0.92,284.0,1.53,3.29,-1.14,7.2,1.24365372098069,5325.0,166.0,-152.0,4.004,0.513,-0.345,1.565,1.049,-0.728,290.73477,49.086639,13.776,-0.08695810730327656,-0.0350714530699702,-0.2847853704204545,-0.8313602741453917
0,0,0,0,100.494129,0.001565,-0.001565,153.8021,0.0126,-0.0126,0.0813,0.3756,-0.0811,2.679,0.382,-0.382,57.6,10.4,-10.4,1.33,0.05,-0.06,523.0,17.64,2.05,-2.26,6.9,1.0,6018.0,65.0,-65.0,4.036,0.014,-0.019,1.75,0.06,-0.08,287.3548,45.948662,11.484,-0.0883663888396807,-0.03507145311971182,-0.28435686181576714,-0.6272925046249814
0,0,0,0,7.07136119,3.085e-05,-3.085e-05,139.98763,0.00381,-0.00381,0.658,0.292,-0.433,2.757,0.111,-0.111,65.7,3.2,-3.2,0.63,0.04,-0.02,719.0,63.11,14.34,-9.52,22.4,4.0,4900.0,98.0,-98.0,4.602,0.017,-0.049,0.741,0.048,-0.03,281.48273,47.208031,11.492,-0.0881117096182179,-0.03507145311409733,-0.2842226123893881,-0.263629489992369
